site,date,word_count,grade_level,comment_count,likes
slowboring,2022-06-17,3053,11.2,265,110
slowboring,2022-06-21,2046,13.7,305,223
slowboring,2022-06-20,299,12.7,210,112
slowboring,2022-06-23,2477,10.9,78,77
slowboring,2022-06-24,3447,10.5,436,94
slowboring,2022-07-25,2686,10.3,186,127
slowboring,2022-07-21,1803,10.0,506,213
slowboring,2022-07-18,2447,9.5,201,180
slowboring,2022-06-29,2378,11.7,367,179
slowboring,2022-06-30,2007,9.3,235,183
slowboring,2022-07-01,3704,8.7,673,100
slowboring,2022-07-14,1813,11.5,519,242
slowboring,2022-07-05,1800,10.0,203,147
slowboring,2022-07-06,2068,9.8,242,75
slowboring,2022-07-19,2975,10.5,598,188
slowboring,2022-07-04,705,11.9,162,118
slowboring,2022-07-11,2063,9.9,183,92
slowboring,2022-07-26,2479,10.3,407,147
slowboring,2022-07-07,1531,10.3,130,174
slowboring,2022-07-08,2736,9.6,364,84
slowboring,2022-07-12,985,10.7,502,105
slowboring,2022-07-15,3659,11.5,271,76
slowboring,2022-09-17,2325,12.7,95,109
slowboring,2022-07-22,3588,10.5,434,77
slowboring,2022-07-27,2895,11.2,179,162
slowboring,2022-07-28,1826,12.9,244,95
slowboring,2022-07-29,4405,10.5,334,81
slowboring,2022-08-01,2636,12.4,240,157
slowboring,2022-08-15,3836,11.2,237,200
slowboring,2022-08-02,2647,12.3,292,178
slowboring,2022-08-03,2104,9.8,393,210
slowboring,2022-08-04,2346,10.8,292,185
slowboring,2022-08-05,3546,10.3,293,93
slowboring,2022-08-08,2102,12.2,324,113
slowboring,2022-08-09,1770,12.3,497,140
slowboring,2022-08-16,2525,10.8,313,167
slowboring,2022-08-11,2103,12.3,195,123
slowboring,2022-08-10,2128,10.9,194,208
slowboring,2022-08-12,5325,11.0,383,79
slowboring,2022-08-17,2561,12.3,320,125
slowboring,2022-08-18,2761,11.7,506,181
slowboring,2022-08-19,3434,10.8,298,85
slowboring,2022-08-22,2034,11.6,476,195
slowboring,2022-08-23,2060,11.4,333,179
slowboring,2022-08-24,2439,11.0,172,198
slowboring,2022-08-25,1744,9.8,366,168
slowboring,2022-08-26,4216,10.1,292,76
